date,AAPL,AMAT,AMD,CSCO,IBM,INTC,MSFT,MU,NVDA,ORCL,WDC
1985-05-17,52964800.0,6656000.0,469000.0,,5386400.0,17467200.0,,3623000.0,,,119400.0
1985-05-20,49296800.0,15974400.0,890000.0,,6864400.0,35188800.0,,2125000.0,,,336600.0
1985-05-21,38136000.0,3635200.0,595400.0,,4860000.0,24715200.0,,973000.0,,,394600.0
1985-05-22,30139200.0,14720000.0,435000.0,,3428400.0,17568000.0,,474000.0,,,181200.0
1985-05-23,59791200.0,5004800.0,411800.0,,3317200.0,12734400.0,,788000.0,,,72200.0
1985-05-24,147369600.0,1587200.0,494200.0,,2700800.0,30086400.0,,675000.0,,,529400.0
1985-05-28,127741600.0,6835200.0,271800.0,,3687600.0,18614400.0,,749000.0,,,59400.0
1985-05-29,61639200.0,1664000.0,762400.0,,3758800.0,13166400.0,,569000.0,,,237800.0
1985-05-30,78730400.0,16614400.0,1630000.0,,6666400.0,42345600.0,,1486000.0,,,72200.0
1985-05-31,92355200.0,11430400.0,952600.0,,5487600.0,32323200.0,,925000.0,,,156000.0
1985-06-03,144004000.0,7270400.0,847600.0,,5062400.0,35952000.0,,1673000.0,,,75600.0
1985-06-04,100480800.0,7232000.0,1191400.0,,4704400.0,25977600.0,,2016000.0,,,189000.0
1985-06-05,71601600.0,38796800.0,1218400.0,,6578000.0,31214400.0,,1459000.0,,,154200.0
1985-06-06,67799200.0,8102400.0,1540600.0,,4774000.0,46219200.0,,1185000.0,,,39600.0
1985-06-07,118809600.0,2419200.0,835600.0,,4743600.0,19924800.0,,2311000.0,,,114600.0
1985-06-10,79032800.0,8000000.0,893200.0,,3453600.0,39369600.0,,2782000.0,,,364000.0
1985-06-11,75180000.0,1830400.0,1505200.0,,5695600.0,67123200.0,,2131000.0,,,169000.0
1985-06-12,61997600.0,2982400.0,1361400.0,,10275600.0,39590400.0,,1710000.0,,,545400.0
1985-06-13,94880800.0,5440000.0,1756400.0,,15053200.0,47131200.0,,2855000.0,,,518200.0
1985-06-14,141416800.0,8179200.0,1966400.0,,7012000.0,78988800.0,,2328000.0,,,44800.0
1985-06-17,59085600.0,5196800.0,1085600.0,,5266400.0,54835200.0,,757000.0,,,40400.0
1985-06-18,66304000.0,3955200.0,911800.0,,7276000.0,47520000.0,,1011000.0,,,66000.0
1985-06-19,42996800.0,7488000.0,2164000.0,,5075600.0,41913600.0,,1385000.0,,,93800.0
1985-06-20,47700800.0,2368000.0,489200.0,,5601200.0,20486400.0,,1898000.0,,,287200.0
1985-06-21,41535200.0,8704000.0,792800.0,,5460400.0,59414400.0,,5709000.0,,,70800.0
1985-06-24,51441600.0,7526400.0,1325400.0,,4501200.0,37281600.0,,1624000.0,,,363000.0
1985-06-25,73477600.0,17228800.0,1555800.0,,7012000.0,75124800.0,,1222000.0,,,824800.0
1985-06-26,33051200.0,1932800.0,518000.0,,3657200.0,46622400.0,,940000.0,,,453000.0
1985-06-27,48115200.0,44633600.0,704000.0,,4606000.0,34219200.0,,906000.0,,,183000.0
1985-06-28,33936000.0,10035200.0,788800.0,,3282000.0,32942400.0,,2179000.0,,,113800.0
1985-07-01,25860800.0,19507200.0,560600.0,,3563200.0,13296000.0,,1221000.0,,,83800.0
1985-07-02,19432000.0,18675200.0,879000.0,,4259200.0,24446400.0,,1409000.0,,,511200.0
1985-07-03,17124800.0,11161600.0,618600.0,,2667600.0,19166400.0,,1019000.0,,,235600.0
1985-07-05,9144800.0,2611200.0,196200.0,,1475600.0,16440000.0,,366000.0,,,108200.0
1985-07-08,23055200.0,2176000.0,255600.0,,3170400.0,21633600.0,,673000.0,,,87600.0
1985-07-09,36976800.0,3801600.0,463600.0,,4798000.0,27537600.0,,732000.0,,,130000.0
1985-07-10,26510400.0,4377600.0,800200.0,,6749200.0,28646400.0,,534000.0,,,520600.0
1985-07-11,16223200.0,12505600.0,794400.0,,4175600.0,25094400.0,,1044000.0,,,110000.0
1985-07-12,11760000.0,8358400.0,566800.0,,3947200.0,19612800.0,,1435000.0,,,586000.0
