Ticker,Date,Close Price,Market Cap,Volume
XRX,10/30/1992,19.3975," 7,046.5 "," 8,094,150 "
XRX,11/30/1992,20.7691," 7,473.6 "," 5,047,350 "
XRX,12/31/1992,20.9009," 7,521.1 "," 6,426,600 "
XRX,01/29/1993,22.6152," 8,151.9 "," 13,950,600 "
XRX,02/26/1993,21.8240," 7,866.7 "," 8,579,550 "
XRX,03/31/1993,22.1900," 7,926.1 "," 6,338,850 "
XRX,04/30/1993,20.5265," 7,381.5 "," 11,553,000 "
XRX,05/28/1993,20.3609," 7,249.9 "," 11,401,200 "
XRX,06/30/1993,21.4696," 7,644.7 "," 14,144,100 "
XRX,07/30/1993,19.6217," 7,581.6 "," 14,041,200 "
XRX,08/31/1993,19.9584," 7,633.6 "," 7,969,800 "
XRX,09/30/1993,19.8565," 7,594.6 "," 10,490,100 "
XRX,10/29/1993,21.5197," 8,235.8 "," 10,581,900 "
XRX,11/30/1993,22.5732," 8,560.6 "," 8,694,000 "
XRX,12/31/1993,24.4914," 9,288.0 "," 13,316,700 "
XRX,01/31/1994,26.8892," 10,197.3 "," 11,138,250 "
XRX,02/28/1994,26.7859," 10,080.4 "," 13,101,750 "
XRX,03/31/1994,26.3717," 9,924.6 "," 12,042,600 "
XRX,04/29/1994,27.3036," 10,426.7 "," 12,255,900 "
XRX,05/31/1994,27.9582," 10,598.0 "," 8,400,900 "
XRX,06/30/1994,27.1932," 10,308.0 "," 8,079,600 "
XRX,07/29/1994,28.4450," 10,795.4 "," 5,830,200 "
XRX,08/31/1994,30.0096," 11,310.0 "," 10,001,550 "
XRX,09/30/1994,29.9046," 11,270.5 "," 8,980,950 "
XRX,10/31/1994,28.7140," 10,842.8 "," 13,225,800 "
XRX,11/30/1994,27.7340," 10,393.2 "," 12,250,350 "
XRX,12/30/1994,27.9458," 10,472.5 "," 11,940,600 "
XRX,01/31/1995,30.8744," 11,593.0 "," 12,986,100 "
XRX,02/28/1995,31.5144," 11,752.0 "," 9,021,600 "
XRX,03/31/1995,33.3619," 12,440.9 "," 16,328,850 "
XRX,04/28/1995,35.0673," 13,203.3 "," 9,505,800 "
XRX,05/31/1995,32.4325," 12,133.2 "," 15,012,450 "
XRX,06/30/1995,33.5410," 12,547.9 "," 16,545,450 "
XRX,07/31/1995,34.1488," 12,775.3 "," 11,833,650 "
XRX,08/31/1995,34.7907," 12,998.5 "," 12,495,000 "
XRX,09/29/1995,38.6764," 14,450.3 "," 11,145,600 "
XRX,10/31/1995,37.3092," 13,939.5 "," 13,097,100 "
XRX,11/30/1995,39.6820," 14,789.2 "," 8,677,950 "
XRX,12/29/1995,39.6458," 14,775.7 "," 8,481,600 "
XRX,01/31/1996,35.7753," 13,333.2 "," 26,289,150 "
XRX,02/29/1996,37.9376," 14,047.7 "," 17,421,300 "
XRX,03/29/1996,36.5541," 13,597.0 "," 12,682,800 "
XRX,04/30/1996,42.6707," 15,872.2 "," 14,973,900 "
XRX,05/31/1996,45.8383," 16,994.9 "," 15,266,700 "
XRX,06/28/1996,47.0057," 17,332.4 "," 7,429,200 "
XRX,07/31/1996,44.2600," 16,320.0 "," 10,037,850 "
XRX,08/30/1996,48.2138," 17,751.6 "," 8,905,200 "
XRX,09/30/1996,47.3624," 17,347.3 "," 15,049,500 "
XRX,10/31/1996,40.9591," 15,001.9 "," 29,387,200 "
XRX,11/29/1996,43.2776," 15,903.0 "," 17,718,700 "
XRX,12/31/1996,46.7552," 17,079.5 "," 14,535,800 "
XRX,01/31/1997,52.0860," 19,026.8 "," 15,231,950 "
XRX,02/28/1997,55.5288," 20,284.4 "," 12,584,600 "
XRX,03/31/1997,50.7907," 18,409.4 "," 9,383,200 "
XRX,04/30/1997,54.9209," 19,906.4 "," 9,294,800 "
XRX,05/30/1997,60.5023," 21,928.0 "," 9,356,450 "
XRX,06/30/1997,70.7772," 25,528.8 "," 16,082,400 "
XRX,07/31/1997,73.8057," 26,621.1 "," 11,617,950 "
XRX,08/29/1997,67.7487," 24,520.7 "," 8,162,808 "
XRX,09/30/1997,75.8585," 27,342.2 "," 9,581,350 "
XRX,10/31/1997,71.4658," 25,758.9 "," 12,736,500 "
XRX,11/28/1997,70.0016," 25,317.4 "," 11,545,450 "
XRX,12/31/1997,66.8340," 24,075.0 "," 13,889,700 "
XRX,01/30/1998,72.7145," 26,221.6 "," 12,345,500 "
XRX,02/27/1998,80.4044," 28,994.7 "," 8,457,950 "
XRX,03/31/1998,96.6821," 34,724.3 "," 13,058,650 "
XRX,04/30/1998,103.0973," 37,028.4 "," 18,671,300 "
XRX,05/29/1998,93.4462," 33,721.7 "," 8,044,150 "
XRX,06/30/1998,92.6373," 33,312.0 "," 15,417,000 "
XRX,07/31/1998,96.2265," 34,602.6 "," 10,668,650 "
XRX,08/31/1998,80.0464," 28,821.6 "," 12,887,600 "
XRX,09/30/1998,77.5605," 27,816.4 "," 21,948,450 "
XRX,10/30/1998,89.2861," 32,021.7 "," 19,839,900 "
XRX,11/30/1998,98.3806," 35,230.3 "," 9,917,950 "
XRX,12/31/1998,108.3422," 38,671.4 "," 10,444,350 "
XRX,01/29/1999,113.8511," 40,720.9 "," 16,060,200 "
XRX,02/26/1999,101.3413," 36,246.5 "," 12,276,300 "
XRX,03/31/1999,98.3658," 35,056.1 "," 15,616,425 "
XRX,04/30/1999,108.2715," 38,586.3 "," 12,381,725 "
XRX,05/28/1999,103.5491," 37,080.4 "," 10,813,925 "
XRX,06/30/1999,109.2299," 38,977.7 "," 10,521,150 "
XRX,07/30/1999,90.3892," 32,254.6 "," 16,277,850 "
XRX,08/31/1999,88.6554," 31,766.3 "," 14,917,475 "
