date,manager,profit,flow,equity_sod,roe
11/19/2015,PAR,26079767.42,0,4798486760,0.005435
11/20/2015,PAR,5437910.76,0,4824566527,0.001127
11/23/2015,PAR,-5482518.17,0,4830004438,-0.001135
11/24/2015,PAR,-5011999.62,0,4824521920,-0.001039
11/25/2015,PAR,-9030476.7,0,4819509920,-0.001874
11/27/2015,PAR,-5182066.44,0,4810479443,-0.001077
11/30/2015,PAR,-31948992.37,0,4805297377,-0.006649
12/1/2015,PAR,47262520.55,0,4773348385,0.009901
12/2/2015,PAR,-755062.09,0,4820610905,-0.000157
12/3/2015,PAR,-39671019.45,0,4819855843,-0.008231
12/4/2015,PAR,50776620.99,0,4780184824,0.010622
12/7/2015,PAR,6623168.29,0,4830961445,0.001371
12/8/2015,PAR,-73435775.74,0,4837584613,-0.01518
12/9/2015,PAR,-19278770.45,0,4764148837,-0.004047
12/10/2015,PAR,38185797.22,0,4744870067,0.008048
12/11/2015,PAR,-83626218.13,0,4783055864,-0.017484
12/14/2015,PAR,-15667366.91,0,4699429646,-0.003334
12/15/2015,PAR,45866551.34,0,4683762279,0.009793
12/16/2015,PAR,50876106.93,0,4729628830,0.010757
12/17/2015,PAR,-34798960.81,0,4780504937,-0.007279
12/18/2015,PAR,-38422724.05,0,4745705976,-0.008096
12/21/2015,PAR,37014569.15,0,4707283252,0.007863
12/22/2015,PAR,28986750.8,0,4744297821,0.00611
12/23/2015,PAR,34537205.46,0,4773284572,0.007236
12/24/2015,PAR,14024555.39,0,4807821778,0.002917
12/28/2015,PAR,-9295837.84,0,4821846333,-0.001928
12/29/2015,PAR,14671383.06,0,4812550495,0.003049
12/30/2015,PAR,-43004507.26,0,4827221878,-0.008909
12/31/2015,PAR,-23142818.02,0,4784217371,-0.004837
1/4/2016,PAR,-81988676.59,378534833.5,4735553520,-0.017313
1/5/2016,PAR,-10053844.94,0,4653564843,-0.00216
1/6/2016,PAR,-29789544.46,0,4643510998,-0.006415
1/7/2016,PAR,-99921859.94,0,4613721454,-0.021658
